name,width_depleted,orientation,critical_depth,width_max,offset,tilt,gain,critical_depth_min,critical_depth_max,width_max_min,width_max_max,width_depleted_preferred
2014-08-23-554,0.75,1,0.200,5.50,-0.100,0.0150,17.327,0.150,0.200,5.50,6.00,1.00
2014-08-23-555,0.75,1,0.550,5.00,0.000,0.0000,27.454,0.350,0.550,5.00,6.00,1.00
2014-08-23-556,0.75,-1,0.600,2.00,0.000,-0.0150,16.953,0.600,0.650,2.00,2.00,1.00
2014-08-23-557,0.75,-1,0.550,4.00,-0.200,0.0300,6.257,0.300,0.650,3.00,6.00,0.50
2014-08-23-558,0.75,-1,0.400,2.50,0.000,0.0000,17.868,0.150,0.400,2.50,4.00,0.00
2014-08-23-559,0.75,-1,0.850,0.50,0.350,0.0300,16.433,0.700,0.850,0.00,0.50,0.75
2014-08-23-560,0.75,1,0.200,3.50,0.000,0.0000,44.152,0.200,0.250,3.00,3.50,1.00
2014-08-23-561,0.75,1,0.450,5.50,-0.100,-0.0150,40.587,0.450,0.500,5.00,5.50,1.50
2014-08-23-562,0.75,-1,0.300,4.00,0.000,0.0000,11.744,0.300,0.300,4.00,4.50,0.00
2014-08-23-563,0.75,-1,0.500,4.50,0.000,0.0300,52.528,0.500,0.500,4.50,4.50,1.00
2014-08-23-564,0.75,1,0.550,5.50,-0.050,-0.0150,38.414,0.500,0.650,5.00,5.50,2.25
2014-08-23-565,0.75,1,0.400,6.00,-0.200,-0.0300,47.784,0.400,0.450,5.50,6.00,0.50
2014-08-23-566,0.75,1,0.300,7.00,0.000,-0.0150,17.505,0.300,0.500,5.50,7.00,0.00
2014-08-23-567,0.75,-1,0.350,6.00,0.000,0.0150,32.139,0.350,0.350,6.00,6.00,0.50
2014-08-23-568,0.75,-1,0.400,6.00,-0.300,0.0000,45.894,0.400,0.600,4.50,6.00,1.75
2014-08-23-569,0.75,1,0.300,5.00,0.050,0.0150,33.887,0.300,0.350,5.00,5.00,1.00
2014-08-23-570,0.75,1,0.400,7.00,0.000,0.0000,57.372,0.400,0.400,7.00,7.00,0.00
2014-08-23-571,0.75,-1,0.550,2.00,0.000,0.0300,34.892,0.550,0.550,2.00,2.00,1.25
2014-08-23-572,0.75,1,0.350,6.50,0.000,0.0000,51.077,0.350,0.350,6.00,6.50,0.00
2014-08-23-573,0.75,-1,0.400,7.00,-0.050,-0.0300,31.468,0.200,0.400,7.00,8.50,0.75
2014-08-23-574,0.75,1,0.400,6.00,0.000,0.0000,24.151,0.400,0.400,5.50,6.00,1.25
2014-08-23-575,0.75,-1,0.150,4.50,0.000,-0.0300,17.024,0.150,0.150,4.50,4.50,1.25
2014-08-23-576,0.75,-1,0.350,5.50,-0.200,0.0300,24.676,0.350,0.400,2.50,5.50,1.00
2014-08-23-577,0.75,1,0.400,4.50,-0.050,-0.0150,28.662,0.400,0.400,4.50,5.00,0.25
2014-08-23-578,0.75,-1,0.700,6.50,0.300,0.0300,31.806,0.700,0.700,6.50,6.50,0.50
2014-08-23-579,0.75,-1,0.600,5.50,0.000,0.0000,192.415,0.600,0.600,5.50,5.50,2.50
2014-08-23-580,0.75,-1,0.350,3.00,-0.600,-0.0150,15.904,0.300,0.350,3.00,3.50,0.75
2014-08-23-581,0.75,1,0.350,6.00,0.000,0.0150,65.909,0.350,0.350,6.00,6.00,1.25
2014-08-23-582,0.75,-1,0.300,3.50,0.100,0.0150,11.979,0.300,0.350,2.50,3.50,1.00
2014-08-23-583,0.75,-1,0.350,5.50,-0.100,0.0150,49.046,0.350,0.350,5.50,5.50,0.00
2014-08-23-584,0.75,-1,0.400,6.00,0.000,0.0150,62.779,0.400,0.400,6.00,6.00,1.00
2014-08-23-585,0.75,1,0.750,5.50,0.000,0.0000,56.348,0.750,0.750,5.50,5.50,0.75
2014-08-23-586,0.75,1,0.350,5.50,0.000,-0.0150,32.725,0.350,0.400,5.00,5.50,0.25
2014-08-23-587,0.75,-1,0.350,2.00,-0.050,0.0000,9.624,0.250,0.350,2.00,3.00,0.25
2014-08-23-588,0.75,-1,0.650,1.50,-0.050,-0.0150,2.277,0.050,0.700,0.00,6.50,0.00
2014-08-23-589,0.75,1,0.400,6.00,-0.050,-0.0150,32.940,0.300,0.450,5.00,6.50,1.25
2014-08-23-590,0.75,-1,0.250,0.50,0.050,-0.0150,-2.733,0.000,1.000,0.00,10.00,0.00
2014-08-23-591,0.75,-1,0.450,5.50,0.000,0.0000,58.609,0.450,0.450,5.50,5.50,0.25
2014-08-23-592,0.75,1,0.400,5.50,-0.150,-0.0300,47.986,0.400,0.400,5.00,5.50,1.50
